"time","rate_c_sugar"
0,-0.000660524
10,-0.000660491
20,-0.000660457
30,-0.000660423
40,-0.00066039
50,-0.000660356
60,-0.000660322
70,-0.000660289
80,-0.000660255
90,-0.000660221
100,-0.000660188
110,-0.000660154
120,-0.000660121
130,-0.000660087
140,-0.000660053
150,-0.00066002
160,-0.000659986
170,-0.000659952
180,-0.000659919
190,-0.000659885
200,-0.000659852
210,-0.000659818
220,-0.000659784
230,-0.000659751
240,-0.000659717
250,-0.000659684
260,-0.00065965
270,-0.000659616
280,-0.000659583
290,-0.000659549
300,-0.000659516
310,-0.000659482
320,-0.000659448
330,-0.000659415
340,-0.000659381
350,-0.000659348
360,-0.000659314
370,-0.000659281
380,-0.000659247
390,-0.000659213
400,-0.00065918
410,-0.000659146
420,-0.000659113
430,-0.000659079
440,-0.000659046
450,-0.000659012
460,-0.000658979
470,-0.000658945
480,-0.000658911
490,-0.000658878
500,-0.000658844
510,-0.000658811
520,-0.000658777
530,-0.000658744
540,-0.00065871
550,-0.000658677
560,-0.000658643
570,-0.00065861
580,-0.000658576
590,-0.000658543
600,-0.000658509
610,-0.000658476
620,-0.000658442
630,-0.000658409
640,-0.000658375
650,-0.000658342
660,-0.000658308
670,-0.000658275
680,-0.000658241
690,-0.000658208
700,-0.000658174
710,-0.000658141
720,-0.000658107
730,-0.000658074
740,-0.00065804
750,-0.000658007
760,-0.000657973
770,-0.00065794
780,-0.000657906
790,-0.000657873
800,-0.000657839
810,-0.000657806
820,-0.000657772
830,-0.000657739
840,-0.000657706
850,-0.000657672
860,-0.000657639
870,-0.000657605
880,-0.000657572
890,-0.000657538
900,-0.000657505
910,-0.000657471
920,-0.000657438
930,-0.000657405
940,-0.000657371
950,-0.000657338
960,-0.000657304
970,-0.000657271
980,-0.000657237
990,-0.000657204
1000,-0.000657171
1010,-0.000657137
1020,-0.000657104
1030,-0.00065707
1040,-0.000657037
1050,-0.000657004
1060,-0.00065697
1070,-0.000656937
1080,-0.000656903
1090,-0.00065687
1100,-0.000656837
1110,-0.000656803
1120,-0.00065677
1130,-0.000656736
1140,-0.000656703
1150,-0.00065667
1160,-0.000656636
1170,-0.000656603
1180,-0.00065657
1190,-0.000656536
1200,-0.000656503
1210,-0.000656469
1220,-0.000656436
1230,-0.000656403
1240,-0.000656369
1250,-0.000656336
1260,-0.000656303
1270,-0.000656269
1280,-0.000656236
1290,-0.000656203
1300,-0.000656169
1310,-0.000656136
1320,-0.000656103
1330,-0.000656069
1340,-0.000656036
1350,-0.000656003
1360,-0.000655969
1370,-0.000655936
1380,-0.000655903
1390,-0.000655869
1400,-0.000655836
1410,-0.000655803
1420,-0.000655769
1430,-0.000655736
1440,-0.000655703
1450,-0.000655669
1460,-0.000655636
1470,-0.000655603
1480,-0.000655569
1490,-0.000655536
1500,-0.000655503
1510,-0.00065547
1520,-0.000655436
1530,-0.000655403
1540,-0.00065537
1550,-0.000655336
1560,-0.000655303
1570,-0.00065527
1580,-0.000655237
1590,-0.000655203
1600,-0.00065517
1610,-0.000655137
1620,-0.000655104
1630,-0.00065507
1640,-0.000655037
1650,-0.000655004
1660,-0.000654971
1670,-0.000654937
1680,-0.000654904
1690,-0.000654871
1700,-0.000654838
1710,-0.000654804
1720,-0.000654771
1730,-0.000654738
1740,-0.000654705
1750,-0.000654671
1760,-0.000654638
1770,-0.000654605
1780,-0.000654572
1790,-0.000654538
1800,-0.000654505
1810,-0.000654472
1820,-0.000654439
1830,-0.000654406
1840,-0.000654372
1850,-0.000654339
1860,-0.000654306
1870,-0.000654273
1880,-0.00065424
1890,-0.000654206
1900,-0.000654173
1910,-0.00065414
1920,-0.000654107
1930,-0.000654074
1940,-0.00065404
1950,-0.000654007
1960,-0.000653974
1970,-0.000653941
1980,-0.000653908
1990,-0.000653875
2000,-0.000653841
2010,-0.000653808
2020,-0.000653775
2030,-0.000653742
2040,-0.000653709
2050,-0.000653676
2060,-0.000653642
2070,-0.000653609
2080,-0.000653576
2090,-0.000653543
2100,-0.00065351
2110,-0.000653477
2120,-0.000653443
2130,-0.00065341
2140,-0.000653377
2150,-0.000653344
2160,-0.000653311
2170,-0.000653278
2180,-0.000653245
2190,-0.000653212
2200,-0.000653178
2210,-0.000653145
2220,-0.000653112
