"time","Temperature"
0,295.37
10,294.899
20,294.429
30,293.96
40,293.493
50,293.026
60,292.56
70,292.094
80,291.63
90,291.167
100,290.705
110,290.243
120,289.783
130,289.324
140,288.865
150,288.407
160,287.951
170,287.495
180,287.04
190,286.586
200,286.133
210,285.681
220,285.23
230,284.78
240,284.331
250,283.882
260,283.435
270,282.988
280,282.542
290,282.098
300,281.654
310,281.211
320,280.769
330,280.328
340,279.887
350,279.448
360,279.01
370,278.572
380,278.135
390,277.699
400,277.264
410,276.83
420,276.397
430,275.965
440,275.534
450,275.103
460,274.673
470,274.245
480,273.817
490,273.39
500,272.963
510,272.538
520,272.114
530,271.69
540,271.267
550,270.846
560,270.425
570,270.004
580,269.585
590,269.167
600,268.749
610,268.332
620,267.916
630,267.501
640,267.087
650,266.674
660,266.261
670,265.85
680,265.439
690,265.029
700,264.62
710,264.211
720,263.804
730,263.397
740,262.991
750,262.586
760,262.182
770,261.779
780,261.376
790,260.974
800,260.573
810,260.173
820,259.774
830,259.376
840,258.978
850,258.581
860,258.185
870,257.79
880,257.395
890,257.002
900,256.609
910,256.217
920,255.826
930,255.435
940,255.046
950,254.657
960,254.269
970,253.881
980,253.495
990,253.109
1000,252.724
1010,252.34
1020,251.957
1030,251.574
1040,251.193
1050,250.812
1060,250.431
1070,250.052
1080,249.673
1090,249.295
1100,248.918
1110,248.542
1120,248.166
1130,247.792
1140,247.418
1150,247.044
1160,246.672
1170,246.3
1180,245.929
1190,245.559
1200,245.189
1210,244.821
1220,244.453
1230,244.085
1240,243.719
1250,243.353
1260,242.988
1270,242.624
1280,242.26
1290,241.898
1300,241.536
1310,241.174
1320,240.814
1330,240.454
1340,240.095
1350,239.737
1360,239.379
1370,239.022
1380,238.666
1390,238.31
1400,237.956
1410,237.602
1420,237.249
1430,236.896
1440,236.544
1450,236.193
1460,235.843
1470,235.493
1480,235.144
1490,234.796
1500,234.449
1510,234.102
1520,233.756
1530,233.41
1540,233.066
1550,232.722
1560,232.378
1570,232.036
1580,231.694
1590,231.353
1600,231.012
1610,230.673
1620,230.333
1630,229.995
1640,229.657
1650,229.32
1660,228.984
1670,228.649
1680,228.314
1690,227.979
1700,227.646
1710,227.313
1720,226.981
1730,226.649
1740,226.318
1750,225.988
1760,225.659
1770,225.33
1780,225.002
1790,224.674
1800,224.348
1810,224.021
1820,223.696
1830,223.371
1840,223.047
1850,222.724
1860,222.401
1870,222.079
1880,221.757
1890,221.436
1900,221.116
1910,220.797
1920,220.478
1930,220.16
1940,219.842
1950,219.525
1960,219.209
1970,218.894
1980,218.579
1990,218.264
2000,217.951
2010,217.638
2020,217.325
2030,217.014
2040,216.703
2050,216.392
2060,216.082
2070,215.773
2080,215.465
2090,215.157
2100,214.85
2110,214.543
2120,214.237
2130,213.932
2140,213.627
2150,213.323
2160,213.019
2170,212.716
2180,212.414
2190,212.112
2200,211.811
2210,211.511
2220,211.211
2230,210.912
2240,210.614
2250,210.316
2260,210.018
2270,209.722
2280,209.426
2290,209.13
2300,208.835
2310,208.541
2320,208.247
2330,207.954
2340,207.662
2350,207.37
2360,207.079
2370,206.788
2380,206.498
2390,206.208
2400,205.92
2410,205.631
2420,205.344
2430,205.057
2440,204.77
2450,204.484
2460,204.199
2470,203.914
2480,203.63
2490,203.346
2500,203.063
2510,202.781
2520,202.499
2530,202.218
2540,201.937
2550,201.657
2560,201.378
2570,201.099
2580,200.821
2590,200.543
2600,200.266
2610,199.989
2620,199.713
2630,199.437
2640,199.163
2650,198.888
2660,198.614
2670,198.341
2680,198.069
2690,197.796
2700,197.525
2710,197.254
2720,196.984
2730,196.714
2740,196.444
2750,196.176
2760,195.907
2770,195.64
2780,195.373
2790,195.106
2800,194.84
2810,194.575
2820,194.31
2830,194.046
2840,193.782
2850,193.519
2860,193.256
2870,192.994
2880,192.732
2890,192.471
2900,192.211
2910,191.951
2920,191.691
2930,191.432
2940,191.174
2950,190.916
2960,190.659
2970,190.402
2980,190.146
2990,189.89
3000,189.635
3010,189.38
3020,189.126
3030,188.872
