"time","Q"
0,0
10,-0.675
20,-0.79275
30,-0.91025
40,-1.0275
50,-1.14425
60,-1.261
70,-1.3775
80,-1.494
90,-1.61
100,-1.72575
110,-1.84125
120,-1.95675
130,-2.07175
140,-2.1865
150,-2.30125
160,-2.41575
170,-2.52975
180,-2.64375
190,-2.7575
200,-2.871
210,-2.98425
220,-3.09725
230,-3.21
240,-3.3225
250,-3.43475
260,-3.547
270,-3.65875
280,-3.7705
290,-3.882
300,-3.993
310,-4.104
320,-4.21475
330,-4.32525
340,-4.4355
350,-4.54575
360,-4.6555
370,-4.765
380,-4.8745
390,-4.98375
400,-5.09275
410,-5.2015
420,-5.31
430,-5.41825
440,-5.52625
450,-5.634
460,-5.74175
470,-5.84925
480,-5.95625
490,-6.06325
500,-6.17
510,-6.27675
520,-6.383
530,-6.489
540,-6.595
550,-6.70075
560,-6.806
570,-6.91125
580,-7.0165
590,-7.12125
600,-7.22575
610,-7.33025
620,-7.4345
630,-7.5385
640,-7.64225
650,-7.74575
660,-7.849
670,-7.95225
680,-8.055
690,-8.15775
700,-8.26025
710,-8.3625
720,-8.46475
730,-8.5665
740,-8.66825
750,-8.76975
760,-8.871
770,-8.972
780,-9.07275
790,-9.1735
800,-9.274
810,-9.37425
820,-9.47425
830,-9.574
840,-9.6735
850,-9.773
860,-9.87225
870,-9.97125
880,-10.07
890,-10.1688
900,-10.267
910,-10.3653
920,-10.4633
930,-10.561
940,-10.6587
950,-10.756
960,-10.8532
970,-10.9502
980,-11.0472
990,-11.1437
1000,-11.2402
1010,-11.3365
1020,-11.4325
1030,-11.5282
1040,-11.624
1050,-11.7192
1060,-11.8145
1070,-11.9097
1080,-12.0045
1090,-12.0992
1100,-12.1938
1110,-12.288
1120,-12.382
1130,-12.476
1140,-12.5695
1150,-12.663
1160,-12.7565
1170,-12.8495
1180,-12.9425
1190,-13.0352
1200,-13.1277
1210,-13.2203
1220,-13.3122
1230,-13.4042
1240,-13.4962
1250,-13.5877
1260,-13.6792
1270,-13.7705
1280,-13.8615
1290,-13.9525
1300,-14.043
1310,-14.1335
1320,-14.224
1330,-14.314
1340,-14.404
1350,-14.4937
1360,-14.5832
1370,-14.6728
1380,-14.762
1390,-14.851
1400,-14.94
1410,-15.0285
1420,-15.117
1430,-15.2052
1440,-15.2935
1450,-15.3815
1460,-15.4692
1470,-15.5568
1480,-15.6442
1490,-15.7315
1500,-15.8185
1510,-15.9052
1520,-15.992
1530,-16.0785
1540,-16.165
1550,-16.251
1560,-16.337
1570,-16.423
1580,-16.5085
1590,-16.594
1600,-16.6792
1610,-16.7645
1620,-16.8492
1630,-16.9342
1640,-17.0187
1650,-17.1032
1660,-17.1875
1670,-17.2715
1680,-17.3552
1690,-17.439
1700,-17.5227
1710,-17.606
1720,-17.6893
1730,-17.7722
1740,-17.8552
1750,-17.938
1760,-18.0205
1770,-18.1028
1780,-18.185
1790,-18.267
1800,-18.349
1810,-18.4305
1820,-18.5123
1830,-18.5935
1840,-18.6747
1850,-18.7557
1860,-18.8365
1870,-18.9172
1880,-18.9977
1890,-19.0782
1900,-19.1585
1910,-19.2385
1920,-19.3182
1930,-19.398
1940,-19.4775
1950,-19.557
1960,-19.6362
1970,-19.7152
1980,-19.794
1990,-19.8727
2000,-19.9515
2010,-20.0297
2020,-20.108
2030,-20.1863
2040,-20.264
2050,-20.3417
2060,-20.4195
2070,-20.497
2080,-20.5742
2090,-20.6512
2100,-20.7282
2110,-20.805
2120,-20.8817
2130,-20.9582
2140,-21.0345
2150,-21.1107
2160,-21.1867
2170,-21.2627
2180,-21.3385
2190,-21.414
2200,-21.4895
2210,-21.5647
2220,-21.6397
2230,-21.7147
2240,-21.7895
2250,-21.864
2260,-21.9385
2270,-22.013
2280,-22.087
2290,-22.161
2300,-22.235
2310,-22.3087
2320,-22.3822
2330,-22.4557
2340,-22.529
2350,-22.602
2360,-22.675
2370,-22.7477
2380,-22.8205
2390,-22.893
2400,-22.9655
2410,-23.0375
2420,-23.1097
2430,-23.1815
2440,-23.2533
2450,-23.325
2460,-23.3965
2470,-23.4677
2480,-23.539
2490,-23.61
2500,-23.681
2510,-23.7518
2520,-23.8222
2530,-23.8927
2540,-23.963
2550,-24.0332
2560,-24.1032
2570,-24.173
2580,-24.2428
2590,-24.3122
2600,-24.3817
2610,-24.451
2620,-24.5202
2630,-24.5892
2640,-24.6582
2650,-24.7267
2660,-24.7955
2670,-24.864
2680,-24.9322
2690,-25.0003
2700,-25.0685
2710,-25.1362
2720,-25.204
2730,-25.2715
2740,-25.339
2750,-25.4065
2760,-25.4735
2770,-25.5407
2780,-25.6075
2790,-25.6743
2800,-25.741
2810,-25.8075
2820,-25.8738
2830,-25.94
2840,-26.006
2850,-26.072
2860,-26.1377
2870,-26.2035
2880,-26.269
2890,-26.3345
2900,-26.3997
2910,-26.4647
2920,-26.5297
2930,-26.5947
2940,-26.6595
2950,-26.724
2960,-26.7885
2970,-26.8528
2980,-26.917
2990,-26.981
3000,-27.045
3010,-27.1088
3020,-27.1725
3030,-27.236
3040,-27.2995
3050,-27.3627
3060,-27.4258
3070,-27.4887
3080,-27.5517
3090,-27.6145
3100,-27.677
3110,-27.7395
3120,-27.802
3130,-27.8642
3140,-27.9262
3150,-27.9883
3160,-28.05
3170,-28.1118
3180,-28.1735
3190,-28.2347
3200,-28.2963
3210,-28.3575
3220,-28.4185
3230,-28.4795
3240,-28.5403
3250,-28.601
3260,-28.6615
3270,-28.722
3280,-28.7822
3290,-28.8425
3300,-28.9025
3310,-28.9625
3320,-29.0222
3330,-29.082
3340,-29.1418
3350,-29.201
3360,-29.2605
3370,-29.3197
3380,-29.3787
3390,-29.4378
3400,-29.4965
3410,-29.5553
3420,-29.6137
3430,-29.6722
3440,-29.7308
3450,-29.789
3460,-29.847
3470,-29.905
3480,-29.9627
3490,-30.0205
3500,-30.0782
3510,-30.1358
3520,-30.1932
3530,-30.2505
3540,-30.3075
3550,-30.3645
3560,-30.4215
3570,-30.4782
3580,-30.535
3590,-30.5915
3600,-30.648
3610,-30.7043
3620,-30.7605
3630,-30.8165
3640,-30.8725
3650,-30.9285
3660,-30.9842
3670,-31.0397
3680,-31.0953
3690,-31.1507
3700,-31.206
3710,-31.261
3720,-31.3162
3730,-31.371
3740,-31.426
3750,-31.4805
3760,-31.5352
3770,-31.5897
3780,-31.644
3790,-31.6983
3800,-31.7525
3810,-31.8065
3820,-31.8603
3830,-31.9142
3840,-31.9677
3850,-32.0215
3860,-32.075
3870,-32.1283
3880,-32.1815
3890,-32.2345
3900,-32.2875
3910,-32.3405
3920,-32.3932
3930,-32.446
3940,-32.4985
3950,-32.551
3960,-32.6035
3970,-32.6557
3980,-32.7077
3990,-32.7597
4000,-32.8117
4010,-32.8635
4020,-32.9153
4030,-32.9667
4040,-33.0182
4050,-33.0697
4060,-33.121
4070,-33.1722
4080,-33.2233
4090,-33.2742
4100,-33.325
4110,-33.3757
4120,-33.4265
4130,-33.477
4140,-33.5272
4150,-33.5778
4160,-33.6277
4170,-33.678
4180,-33.728
4190,-33.7777
4200,-33.8278
4210,-33.8772
4220,-33.927
4230,-33.9765
4240,-34.0257
4250,-34.075
4260,-34.1242
4270,-34.1732
4280,-34.2222
4290,-34.271
4300,-34.3197
4310,-34.3685
4320,-34.417
4330,-34.4655
4340,-34.5138
4350,-34.562
4360,-34.6103
4370,-34.6582
4380,-34.7062
4390,-34.754
4400,-34.8017
4410,-34.8495
4420,-34.897
4430,-34.9445
4440,-34.9917
4450,-35.039
4460,-35.0862
4470,-35.1332
4480,-35.1803
4490,-35.227
4500,-35.2737
4510,-35.3205
4520,-35.367
4530,-35.4135
4540,-35.4597
4550,-35.506
4560,-35.5523
4570,-35.5983
4580,-35.6442
4590,-35.6902
4600,-35.736
4610,-35.7815
4620,-35.8272
4630,-35.8727
4640,-35.918
4650,-35.9635
4660,-36.0085
4670,-36.0538
4680,-36.0987
4690,-36.1435
4700,-36.1885
4710,-36.2332
4720,-36.2777
4730,-36.3222
